tik,uik,turnout,stationary,putin,koib,cam,marked,gaps
6 Выборгская,274,60%,831,75%,,c1,yes,"20, 40"
6 Выборгская,274,60%,831,75%,,c2,yes,"19, 44"
21 Приозерская,758,58%,839,75%,,c1,yes,
21 Приозерская,758,58%,839,75%,,c2,yes,
6 Выборгская,288,53%,836,81%,,c1,,"19, 40"
6 Выборгская,288,53%,836,81%,,c2,,"24, 36"
21 Приозерская,776,68%,827,83%,,,,missing
5 Всеволожская,228,58%,825,72%,,,,missing
5 Всеволожская,184,76%,827,80%,КОИБ,c1,yes,"21, 42"
5 Всеволожская,184,76%,827,80%,КОИБ,c2,yes,"22, 3, 44"
12 Киришская,537,72%,823,78%,,c1,yes,"20, 52"
12 Киришская,537,72%,823,78%,,c2,yes,"22, 44"
7 Гатчинская,457,67%,820,77%,,c1,yes,"5, 39"
7 Гатчинская,457,67%,820,77%,,c2,,"19, 39"
24 Сланцевская,800,65%,827,76%,,c1,yes,"22, 40"
24 Сланцевская,800,65%,827,76%,,c2,yes,"18, 42"
24 Сланцевская,799,62%,820,76%,,c1,yes,"20, 43"
24 Сланцевская,799,62%,820,76%,,c2,yes,"21, 36"
6 Выборгская,250,60%,820,74%,,c1,yes,"21, 41"
6 Выборгская,250,60%,820,74%,,c2,,"23, 48"
5 Всеволожская,192,50%,820,79%,,c1,,41
5 Всеволожская,192,50%,820,79%,,c2,,"5, 35"
6 Выборгская,978,86%,811,59%,,,,missing
5 Всеволожская,172,71%,817,86%,,c1,,"21, 36"
5 Всеволожская,172,71%,817,86%,,c2,yes,
11 Кингисеппская,475,66%,814,79%,,c1,yes,"19, 56, 60, 106, 36, 70, 111, 59, 110, 2"
11 Кингисеппская,475,66%,814,79%,,c2,yes,"6, 67, 52, 109, 38, 75, 112, 60, 125"
6 Выборгская,269,60%,813,75%,,c1,yes,"21, 42"
6 Выборгская,269,60%,813,75%,,c2,yes,"22, 37"
6 Выборгская,325,63%,802,80%,,,,missing
6 Выборгская,329,81%,809,88%,,c1,yes,"21, 38"
6 Выборгская,329,81%,809,88%,,c2,,"22, 36"
6 Выборгская,241,71%,808,75%,,c1,yes,"22, 52"
6 Выборгская,241,71%,808,75%,,c2,,"21, 39, 4, 16, 22, 26, 22"
3 Волховская,107,70%,807,77%,,c1,yes,"15, 40"
3 Волховская,107,70%,807,77%,,c2,yes,46
7 Гатчинская,387,68%,801,75%,,c1,,"4, 41"
7 Гатчинская,387,68%,801,75%,,c2,yes,"19, 36"
17 Лужская,681,68%,807,82%,,c1,,"7, 46"
17 Лужская,681,68%,807,82%,,c2,yes,"15, 35"
20 Подпорожская,726,67%,801,82%,,c1,,"17, 45"
20 Подпорожская,726,67%,801,82%,,c2,yes,"16, 38"
5 Всеволожская,171,67%,805,78%,,c1,yes,"21, 47"
5 Всеволожская,171,67%,805,78%,,c2,yes,"6, 36"
3 Волховская,75,64%,801,80%,,c1,yes,19
3 Волховская,75,64%,801,80%,,c2,yes,"2, 35"
7 Гатчинская,402,62%,807,83%,,c1,yes,"21, 39, 43"
7 Гатчинская,402,62%,807,83%,,c2,,"21, 44, 47"
3 Волховская,74,62%,808,74%,,c1,yes,21
3 Волховская,74,62%,808,74%,,c2,,"22, 48"
3 Волховская,84,61%,801,81%,,c1,yes,"7, 37"
3 Волховская,84,61%,801,81%,,c2,yes,"19, 38"
17 Лужская,677,61%,799,79%,,c1,yes,"20, 41"
17 Лужская,677,61%,799,79%,,c2,yes,"21, 47"
6 Выборгская,261,60%,795,77%,,c1,yes,"21, 37"
6 Выборгская,261,60%,795,77%,,c2,,"20, 36"
5 Всеволожская,151,58%,796,78%,,c1,yes,"21, 41"
5 Всеволожская,151,58%,796,78%,,c2,yes,"7, 37"
17 Лужская,678,57%,794,75%,,c1,yes,
17 Лужская,678,57%,794,75%,,c2,yes,"119, 51, 22, 54, 54, 58, 56, 50, 91, 67, 104, 60, 3, 58, 40, 168, 50, 82, 123, 65, 59"
5 Всеволожская,232,55%,799,80%,,c1,yes,"20, 36"
5 Всеволожская,232,55%,799,80%,,c2,yes,"22, 38"
2 Волосовская,47,76%,788,87%,,,,missing
3 Волховская,61,66%,780,82%,,,,missing
7 Гатчинская,371,83%,783,82%,,c1,yes,"3, 35"
7 Гатчинская,371,83%,783,82%,,c2,,"20, 37"
13 Кировская,576,70%,783,80%,,c1,yes,"19, 44"
13 Кировская,576,70%,783,80%,,c2,yes,"6, 43"
11 Кингисеппская,493,67%,780,76%,,c1,yes,"2, 38"
11 Кингисеппская,493,67%,780,76%,,c2,yes,"6, 45"
20 Подпорожская,736,65%,780,81%,,c1,,"20, 45"
20 Подпорожская,736,65%,780,81%,,c2,yes,"21, 42"
7 Гатчинская,418,62%,783,82%,,c1,,"23, 44"
7 Гатчинская,418,62%,783,82%,,c2,yes,
24 Сланцевская,794,61%,784,79%,,c1,,"21, 40"
24 Сланцевская,794,61%,784,79%,,c2,yes,"19, 43"
27 Тосненская,884,61%,784,83%,КОИБ,c1,yes,"19, 37"
27 Тосненская,884,61%,784,83%,КОИБ,c2,yes,"19, 36"
24 Сланцевская,803,59%,784,78%,,c1,yes,"21, 45"
24 Сланцевская,803,59%,784,78%,,c2,yes,39
24 Сланцевская,806,58%,780,78%,,c1,,"20, 35"
24 Сланцевская,806,58%,780,78%,,c2,yes,"19, 38"
5 Всеволожская,224,52%,784,71%,,c1,yes,"19, 44"
5 Всеволожская,224,52%,784,71%,,c2,yes,"23, 39"
2 Волосовская,46,72%,775,85%,,,,missing
6 Выборгская,304,63%,770,80%,,,,missing
7 Гатчинская,458,80%,774,82%,,c1,yes,36
7 Гатчинская,458,80%,774,82%,,c2,,"21, 42"
7 Гатчинская,429,62%,772,80%,,c1,yes,"19, 36"
7 Гатчинская,429,62%,772,80%,,c2,,
15 Лодейнопольская,595,62%,776,75%,,c1,yes,36
15 Лодейнопольская,595,62%,776,75%,,c2,yes,"21, 37"
21 Приозерская,756,59%,776,81%,,c1,,
21 Приозерская,756,59%,776,81%,,c2,,
27 Тосненская,918,56%,777,82%,КОИБ,c1,yes,"22, 36"
27 Тосненская,918,56%,777,82%,КОИБ,c2,yes,"22, 52"
3 Волховская,85,55%,779,77%,,c1,yes,"23, 45"
3 Волховская,85,55%,779,77%,,c2,yes,"21, 36"
13 Кировская,554,63%,766,80%,КОИБ,c1,yes,"21, 36"
13 Кировская,554,63%,766,80%,КОИБ,c2,,"20, 35"
24 Сланцевская,796,60%,764,79%,,c1,yes,"19, 43"
24 Сланцевская,796,60%,764,79%,,c2,yes,"22, 2, 35"
6 Выборгская,347,60%,764,73%,,c1,,40
6 Выборгская,347,60%,764,73%,,c2,yes,"16, 43"
7 Гатчинская,406,57%,769,82%,,c1,yes,
7 Гатчинская,406,57%,769,82%,,c2,yes,
17 Лужская,686,53%,763,79%,,c1,yes,"7, 40"
17 Лужская,686,53%,763,79%,,c2,,"8, 41"
11 Кингисеппская,496,87%,755,78%,,,,missing
7 Гатчинская,459,77%,752,85%,,,,missing
2 Волосовская,56,73%,750,81%,,,,missing
11 Кингисеппская,504,69%,749,79%,,,,missing
16 Ломоносовская,658,67%,749,83%,КОИБ,,,missing
16 Ломоносовская,652,56%,741,75%,,,,missing
6 Выборгская,323,61%,748,80%,,c1,,"20, 38"
6 Выборгская,323,61%,748,80%,,c2,yes,"19, 45"
3 Волховская,83,60%,745,78%,,c1,yes,"21, 36"
3 Волховская,83,60%,745,78%,,c2,,"20, 36"
6 Выборгская,346,59%,745,80%,,c1,yes,"19, 40"
6 Выборгская,346,59%,745,80%,,c2,,"21, 44"
24 Сланцевская,801,58%,749,75%,,c1,,"21, 41, 2"
24 Сланцевская,801,58%,749,75%,,c2,yes,"2, 822"
27 Тосненская,875,58%,742,75%,КОИБ,c1,yes,"19, 35"
27 Тосненская,875,58%,742,75%,КОИБ,c2,yes,"19, 38"
17 Лужская,690,67%,730,75%,,,,missing
16 Ломоносовская,648,61%,732,80%,,,,missing
20 Подпорожская,723,59%,732,79%,,,,missing
25 Сосновоборская городская,937,70%,733,74%,КОИБ,c1,yes,9
25 Сосновоборская городская,937,70%,733,74%,КОИБ,c2,yes,"21, 40"
24 Сланцевская,792,58%,735,79%,,c1,yes,"2, 35"
24 Сланцевская,792,58%,735,79%,,c2,yes,"21, 35"
24 Сланцевская,793,58%,734,78%,,c1,,"18, 36"
24 Сланцевская,793,58%,734,78%,,c2,yes,"5, 46"
17 Лужская,671,56%,736,80%,,c1,yes,"5, 36"
17 Лужская,671,56%,736,80%,,c2,yes,"10, 35"
5 Всеволожская,193,56%,737,79%,,c1,,"19, 36"
5 Всеволожская,193,56%,737,79%,,c2,,"20, 40"
2 Волосовская,57,78%,728,84%,,,,missing
27 Тосненская,897,75%,729,53%,,c1,yes,"23, 35"
27 Тосненская,897,75%,729,53%,,c2,yes,"21, 35"
24 Сланцевская,797,60%,728,77%,,c1,,"3, 35"
24 Сланцевская,797,60%,728,77%,,c2,yes,"2, 35"
6 Выборгская,243,59%,721,73%,,c1,yes,"13, 43"
6 Выборгская,243,59%,721,73%,,c2,,"18, 35"
24 Сланцевская,804,57%,725,79%,,c1,yes,"19, 37"
24 Сланцевская,804,57%,725,79%,,c2,,"19, 40"
2 Волосовская,45,72%,714,86%,,,,missing
6 Выборгская,310,73%,714,83%,,c1,yes,"21, 47"
6 Выборгская,310,73%,714,83%,,c2,yes,"20, 38"
21 Приозерская,755,59%,717,74%,,c1,yes,"21, 42"
21 Приозерская,755,59%,717,74%,,c2,yes,"22, 36"
5 Всеволожская,180,54%,712,83%,КОИБ,c1,yes,"20, 44"
5 Всеволожская,180,54%,712,83%,КОИБ,c2,yes,"24, 46"
7 Гатчинская,416,85%,701,77%,,,,missing
21 Приозерская,791,73%,701,78%,,,,missing
7 Гатчинская,435,88%,709,85%,,c1,yes,"21, 36"
7 Гатчинская,435,88%,709,85%,,c2,yes,"22, 45"
7 Гатчинская,400,70%,703,80%,,c1,yes,43
7 Гатчинская,400,70%,703,80%,,c2,,"9, 50"
15 Лодейнопольская,605,58%,707,81%,,c1,yes,"20, 48"
15 Лодейнопольская,605,58%,707,81%,,c2,yes,"17, 43"
7 Гатчинская,448,89%,695,91%,,,,missing
6 Выборгская,353,87%,698,80%,,,,missing
6 Выборгская,326,84%,690,77%,,,,missing
11 Кингисеппская,505,68%,693,80%,,,,missing
16 Ломоносовская,656,62%,694,83%,,,,missing
3 Волховская,82,54%,693,79%,,c1,,"22, 49"
3 Волховская,82,54%,693,79%,,c2,yes,"22, 46"
24 Сланцевская,811,53%,695,75%,,c1,yes,"21, 36"
24 Сланцевская,811,53%,695,75%,,c2,yes,"20, 45"
7 Гатчинская,454,70%,689,79%,,,,missing
12 Киришская,539,78%,680,76%,,c1,,"20, 45"
12 Киришская,539,78%,680,76%,,c2,yes,41
20 Подпорожская,742,66%,681,84%,,c1,,"4, 35"
20 Подпорожская,742,66%,681,84%,,c2,yes,"5, 36"
3 Волховская,110,64%,686,70%,,c1,,"21, 47"
3 Волховская,110,64%,686,70%,,c2,yes,"21, 45, 35"
3 Волховская,97,75%,675,77%,,,,missing
11 Кингисеппская,497,70%,676,84%,,,,missing
3 Волховская,105,72%,675,79%,,c1,yes,"21, 43"
3 Волховская,105,72%,675,79%,,c2,,"21, 45"
21 Приозерская,777,68%,672,83%,,c1,,"2, 43"
21 Приозерская,777,68%,672,83%,,c2,yes,"8, 49"
6 Выборгская,245,57%,672,74%,,c1,yes,"21, 45"
6 Выборгская,245,57%,672,74%,,c2,,"20, 44"
3 Волховская,81,54%,676,76%,,c1,yes,"20, 47"
3 Волховская,81,54%,676,76%,,c2,,"23, 41"
27 Тосненская,916,46%,670,79%,,c1,yes,"4, 36"
27 Тосненская,916,46%,670,79%,,c2,yes,"19, 36"
6 Выборгская,327,81%,665,88%,,,,missing
2 Волосовская,60,79%,668,87%,,,,missing
6 Выборгская,255,62%,661,74%,,c1,yes,"20, 39"
6 Выборгская,255,62%,661,74%,,c2,,"21, 44"
24 Сланцевская,805,53%,660,75%,,c1,yes,37
24 Сланцевская,805,53%,660,75%,,c2,yes,"5, 42"
5 Всеволожская,157,79%,657,88%,,,,missing
17 Лужская,699,73%,654,83%,,,,missing
21 Приозерская,775,64%,651,83%,,,,missing
7 Гатчинская,354,59%,657,73%,,,,missing
5 Всеволожская,194,64%,656,79%,,c1,yes,"20, 47"
5 Всеволожская,194,64%,656,79%,,c2,yes,"19, 39"
7 Гатчинская,438,97%,648,84%,,,,missing
24 Сланцевская,820,78%,644,88%,,,,missing
3 Волховская,63,76%,645,82%,,,,missing
21 Приозерская,770,72%,642,81%,,,,missing
7 Гатчинская,463,69%,645,84%,,,,missing
6 Выборгская,275,61%,648,72%,,,,missing
27 Тосненская,869,78%,641,85%,,c1,yes,"19, 40"
27 Тосненская,869,78%,641,85%,,c2,yes,"20, 43"
1 Бокситогорская,18,73%,642,83%,,c1,yes,"21, 43"
1 Бокситогорская,18,73%,642,83%,,c2,yes,"19, 35"
7 Гатчинская,421,65%,648,75%,,c1,,"21, 42"
7 Гатчинская,421,65%,648,75%,,c2,yes,"19, 47"
27 Тосненская,919,54%,644,75%,КОИБ,c1,yes,"16, 38"
27 Тосненская,919,54%,644,75%,КОИБ,c2,yes,"21, 45"
24 Сланцевская,795,52%,647,76%,,c1,,"21, 40"
24 Сланцевская,795,52%,647,76%,,c2,yes,"20, 45"
24 Сланцевская,815,59%,632,80%,,,,missing
21 Приозерская,759,64%,630,76%,,c1,yes,"20, 48"
21 Приозерская,759,64%,630,76%,,c2,yes,"21, 35"
5 Всеволожская,216,59%,630,78%,,c1,,"10, 35"
5 Всеволожская,216,59%,630,78%,,c2,yes,"3, 36"
6 Выборгская,338,59%,633,79%,,c1,,"21, 41"
6 Выборгская,338,59%,633,79%,,c2,yes,"21, 43"
17 Лужская,674,58%,632,78%,,c1,,"22, 46"
17 Лужская,674,58%,632,78%,,c2,yes,"22, 42"
27 Тосненская,892,54%,633,80%,,c1,yes,"7, 35"
27 Тосненская,892,54%,633,80%,,c2,yes,"6, 39"
6 Выборгская,335,80%,628,91%,,,,missing
11 Кингисеппская,495,71%,627,83%,,,,missing
20 Подпорожская,746,63%,628,81%,,,,missing
13 Кировская,583,52%,626,81%,,,,missing
6 Выборгская,313,70%,628,83%,,c1,yes,"20, 45"
6 Выборгская,313,70%,628,83%,,c2,yes,"21, 47"
3 Волховская,108,60%,624,73%,,c1,yes,"21, 43"
3 Волховская,108,60%,624,73%,,c2,yes,"16, 40"
5 Всеволожская,195,84%,616,86%,,,,missing
5 Всеволожская,187,83%,612,83%,,,,missing
21 Приозерская,789,78%,615,79%,,,,missing
12 Киришская,535,73%,611,77%,,,,missing
16 Ломоносовская,631,71%,614,82%,,,,missing
16 Ломоносовская,655,56%,615,81%,,,,missing
21 Приозерская,790,73%,619,81%,,c1,yes,"12, 35"
21 Приозерская,790,73%,619,81%,,c2,,36
26 Тихвинская,856,71%,617,83%,,c1,,"5, 2, 45"
26 Тихвинская,856,71%,617,83%,,c2,yes,"20, 47"
6 Выборгская,257,50%,619,74%,,c1,yes,"22, 35"
6 Выборгская,257,50%,619,74%,,c2,,"19, 43"
6 Выборгская,291,92%,604,90%,,,,missing
5 Всеволожская,154,70%,601,87%,,,,missing
3 Волховская,94,69%,608,80%,,,,missing
21 Приозерская,772,58%,608,80%,,c1,yes,"19, 43"
21 Приозерская,772,58%,608,80%,,c2,,"21, 41, 4"
17 Лужская,684,57%,603,78%,,c1,yes,"23, 37"
17 Лужская,684,57%,603,78%,,c2,yes,"22, 41"
24 Сланцевская,813,50%,609,80%,,c1,yes,"18, 35"
24 Сланцевская,813,50%,609,80%,,c2,yes,
6 Выборгская,280,69%,598,83%,,,,missing
16 Ломоносовская,649,67%,595,86%,,,,missing
21 Приозерская,780,64%,599,82%,,,,missing
20 Подпорожская,724,59%,598,80%,,c1,yes,"15, 44"
20 Подпорожская,724,59%,598,80%,,c2,yes,
27 Тосненская,912,51%,592,76%,,c1,yes,"10, 8, 14, 8, 38"
27 Тосненская,912,51%,592,76%,,c2,yes,"12, 36"
5 Всеволожская,198,74%,581,83%,,,,missing
7 Гатчинская,441,61%,580,79%,,c1,yes,"21, 42, 28, 46"
7 Гатчинская,441,61%,580,79%,,c2,,"19, 16, 39, 49"
13 Кировская,555,58%,586,81%,КОИБ,c1,yes,44
13 Кировская,555,58%,586,81%,КОИБ,c2,yes,
6 Выборгская,276,52%,589,78%,,c1,,"20, 37"
6 Выборгская,276,52%,589,78%,,c2,yes,"20, 39"
24 Сланцевская,812,48%,581,79%,,c1,,"21, 36"
24 Сланцевская,812,48%,581,79%,,c2,yes,
6 Выборгская,351,87%,578,88%,,,,missing
17 Лужская,718,64%,571,84%,,,,missing
7 Гатчинская,442,62%,577,82%,,,,missing
24 Сланцевская,816,52%,578,83%,,,,missing
6 Выборгская,295,70%,578,86%,,c1,yes,"20, 2, 35"
6 Выборгская,295,70%,578,86%,,c2,,"22, 36"
3 Волховская,98,62%,571,80%,,c1,yes,"20, 45"
3 Волховская,98,62%,571,80%,,c2,yes,"3, 20, 40"
27 Тосненская,886,71%,562,89%,,,,missing
5 Всеволожская,166,70%,560,88%,,,,missing
17 Лужская,703,70%,562,81%,,,,missing
21 Приозерская,765,70%,567,81%,,,,missing
6 Выборгская,311,63%,569,85%,,,,missing
7 Гатчинская,456,61%,568,81%,,,,missing
27 Тосненская,873,63%,560,74%,КОИБ,c1,yes,"23, 37, 2"
27 Тосненская,873,63%,560,74%,КОИБ,c2,yes,"20, 36"
6 Выборгская,344,61%,564,85%,,c1,,"20, 36"
6 Выборгская,344,61%,564,85%,,c2,yes,"21, 45"
20 Подпорожская,721,60%,565,79%,,c1,,"21, 36"
20 Подпорожская,721,60%,565,79%,,c2,yes,"22, 35"
27 Тосненская,915,56%,565,79%,КОИБ,c1,yes,"23, 35"
27 Тосненская,915,56%,565,79%,КОИБ,c2,yes,"21, 36"
27 Тосненская,890,55%,567,84%,,c1,yes,"20, 40"
27 Тосненская,890,55%,567,84%,,c2,,"22, 36"
13 Кировская,586,54%,562,83%,,c1,yes,"21, 42"
13 Кировская,586,54%,562,83%,,c2,yes,"20, 45"
2 Волосовская,58,80%,551,84%,,,,missing
21 Приозерская,788,75%,559,82%,,,,missing
7 Гатчинская,462,71%,556,86%,,,,missing
5 Всеволожская,176,71%,550,77%,,,,missing
2 Волосовская,53,66%,557,80%,,,,missing
7 Гатчинская,363,68%,558,81%,,c1,yes,"22, 40"
7 Гатчинская,363,68%,558,81%,,c2,yes,"20, 35"
6 Выборгская,312,58%,557,81%,,c1,yes,"21, 40"
6 Выборгская,312,58%,557,81%,,c2,,"19, 45"
24 Сланцевская,810,55%,554,72%,,c1,yes,"20, 44"
24 Сланцевская,810,55%,554,72%,,c2,yes,"20, 44"
11 Кингисеппская,982,91%,545,72%,,,,missing
27 Тосненская,894,80%,541,77%,,,,missing
5 Всеволожская,188,76%,541,81%,,,,missing
5 Всеволожская,165,73%,543,73%,,,,missing
13 Кировская,587,68%,548,82%,,,,missing
6 Выборгская,315,63%,540,82%,,,,missing
7 Гатчинская,466,73%,543,83%,,c1,,
7 Гатчинская,466,73%,543,83%,,c2,yes,"16, 47"
7 Гатчинская,427,69%,541,82%,,c1,yes,
7 Гатчинская,427,69%,541,82%,,c2,yes,"22, 47"
27 Тосненская,917,62%,544,77%,,c1,yes,"20, 42"
27 Тосненская,917,62%,544,77%,,c2,yes,"21, 46"
20 Подпорожская,735,56%,541,78%,,c1,,"26, 36"
20 Подпорожская,735,56%,541,78%,,c2,yes,"7, 35"
24 Сланцевская,809,48%,542,75%,,c1,,"28, 52"
24 Сланцевская,809,48%,542,75%,,c2,yes,
6 Выборгская,334,81%,531,88%,,,,missing
11 Кингисеппская,500,79%,534,85%,,,,missing
7 Гатчинская,419,76%,538,78%,,,,missing
1 Бокситогорская,16,75%,539,83%,,,,missing
21 Приозерская,774,63%,532,80%,,,,missing
6 Выборгская,234,60%,531,77%,,,,missing
7 Гатчинская,440,64%,533,77%,,c1,yes,"22, 37"
7 Гатчинская,440,64%,533,77%,,c2,yes,"22, 45"
17 Лужская,672,58%,532,78%,,c1,,37
17 Лужская,672,58%,532,78%,,c2,yes,36
20 Подпорожская,730,49%,530,82%,,c1,,"22, 48, 40"
20 Подпорожская,730,49%,530,82%,,c2,yes,"23, 58, 36"
2 Волосовская,55,80%,520,89%,,,,missing
15 Лодейнопольская,621,74%,528,88%,,,,missing
6 Выборгская,341,71%,522,79%,,,,missing
17 Лужская,710,62%,524,82%,,,,missing
6 Выборгская,307,54%,522,84%,,,,missing
3 Волховская,109,58%,522,73%,,c1,yes,"19, 47"
3 Волховская,109,58%,522,73%,,c2,yes,
20 Подпорожская,734,55%,529,84%,,c1,yes,"21, 35"
20 Подпорожская,734,55%,529,84%,,c2,yes,36
7 Гатчинская,452,90%,518,78%,,,,missing
24 Сланцевская,814,86%,517,88%,,,,missing
7 Гатчинская,470,84%,519,73%,,,,missing
16 Ломоносовская,627,59%,518,82%,КОИБ,,,missing
1 Бокситогорская,3,68%,518,78%,,c1,,"15, 36"
1 Бокситогорская,3,68%,518,78%,,c2,yes,"8, 37"
6 Выборгская,302,50%,512,83%,,c1,yes,"20, 40"
6 Выборгская,302,50%,512,83%,,c2,yes,"19, 41"
13 Кировская,582,77%,500,84%,,,,missing
3 Волховская,101,70%,509,80%,,,,missing
13 Кировская,562,67%,500,83%,,,,missing
17 Лужская,691,64%,501,83%,,,,missing
6 Выборгская,271,60%,500,74%,,,,missing
5 Всеволожская,206,58%,504,75%,,,,missing
17 Лужская,667,54%,509,77%,,c1,,"7, 36"
17 Лужская,667,54%,509,77%,,c2,yes,"2, 37"
27 Тосненская,887,86%,492,73%,,,,missing
12 Киришская,540,67%,490,80%,,,,missing
20 Подпорожская,737,57%,497,80%,,c1,,"20, 44, 3"
20 Подпорожская,737,57%,497,80%,,c2,yes,"19, 38"
27 Тосненская,889,57%,494,80%,,c1,yes,"19, 44"
27 Тосненская,889,57%,494,80%,,c2,yes,"19, 44"
27 Тосненская,913,51%,498,80%,,c1,yes,"19, 36"
27 Тосненская,913,51%,498,80%,,c2,yes,"8, 36"
7 Гатчинская,467,95%,484,86%,,,,missing
6 Выборгская,239,76%,488,76%,,,,missing
5 Всеволожская,173,76%,482,90%,,,,missing
17 Лужская,714,68%,481,76%,,,,missing
7 Гатчинская,358,67%,483,79%,,,,missing
26 Тихвинская,862,66%,483,82%,,c1,yes,
26 Тихвинская,862,66%,483,82%,,c2,yes,
7 Гатчинская,401,61%,489,81%,,c1,yes,"19, 36"
7 Гатчинская,401,61%,489,81%,,c2,,"19, 44"
26 Тихвинская,852,82%,474,87%,,,,missing
21 Приозерская,786,75%,479,81%,,,,missing
11 Кингисеппская,506,75%,470,86%,,,,missing
7 Гатчинская,437,73%,472,81%,,,,missing
7 Гатчинская,420,61%,475,81%,,,,missing
21 Приозерская,763,56%,478,80%,,,,missing
17 Лужская,719,84%,469,87%,,,,missing
11 Кингисеппская,494,68%,467,75%,,,,missing
6 Выборгская,343,56%,460,87%,,,,missing
13 Кировская,563,66%,464,79%,,c1,,"18, 40"
13 Кировская,563,66%,464,79%,,c2,yes,"16, 40"
16 Ломоносовская,645,70%,458,85%,,,,missing
21 Приозерская,764,66%,452,81%,,,,missing
12 Киришская,545,90%,443,82%,,,,missing
2 Волосовская,51,85%,441,89%,,,,missing
2 Волосовская,50,82%,449,86%,,,,missing
13 Кировская,581,75%,445,85%,,,,missing
26 Тихвинская,863,62%,447,85%,,,,missing
7 Гатчинская,412,73%,439,76%,,,,missing
3 Волховская,100,73%,438,77%,,,,missing
15 Лодейнопольская,610,72%,435,84%,,,,missing
16 Ломоносовская,653,64%,438,79%,,,,missing
6 Выборгская,238,54%,433,74%,,,,missing
7 Гатчинская,411,52%,438,80%,,,,missing
20 Подпорожская,722,71%,439,77%,,c1,yes,
20 Подпорожская,722,71%,439,77%,,c2,yes,"16, 35"
27 Тосненская,885,52%,437,83%,КОИБ,c1,yes,
27 Тосненская,885,52%,437,83%,КОИБ,c2,yes,"4, 47"
27 Тосненская,893,80%,422,78%,,,,missing
1 Бокситогорская,32,73%,427,83%,,,,missing
15 Лодейнопольская,606,70%,421,77%,,,,missing
3 Волховская,86,66%,422,77%,,,,missing
17 Лужская,689,60%,422,84%,,,,missing
16 Ломоносовская,643,57%,426,83%,,,,missing
15 Лодейнопольская,603,57%,423,76%,,,,missing
13 Кировская,585,55%,426,82%,,,,missing
27 Тосненская,895,54%,425,78%,,,,missing
7 Гатчинская,970,98%,413,75%,,,,missing
24 Сланцевская,819,79%,413,89%,,,,missing
7 Гатчинская,414,75%,418,81%,,,,missing
5 Всеволожская,136,46%,419,73%,,,,missing
5 Всеволожская,163,75%,404,73%,,,,missing
16 Ломоносовская,651,74%,402,81%,,,,missing
7 Гатчинская,361,65%,407,77%,,,,missing
3 Волховская,103,61%,406,75%,,,,missing
6 Выборгская,282,59%,404,81%,,,,missing
17 Лужская,693,59%,403,82%,,,,missing
13 Кировская,584,53%,403,83%,,,,missing
27 Тосненская,914,42%,406,79%,КОИБ,c1,yes,
27 Тосненская,914,42%,406,79%,КОИБ,c2,yes,"14, 36"
7 Гатчинская,443,79%,399,85%,,,,missing
21 Приозерская,771,73%,398,81%,,,,missing
2 Волосовская,42,73%,395,81%,,,,missing
7 Гатчинская,453,62%,391,83%,,,,missing
26 Тихвинская,850,58%,393,77%,,,,missing
6 Выборгская,352,57%,396,76%,,,,missing
26 Тихвинская,845,54%,394,81%,,,,missing
17 Лужская,666,49%,394,80%,,,,missing
3 Волховская,99,71%,389,85%,,,,missing
11 Кингисеппская,983,69%,388,67%,,,,missing
24 Сланцевская,821,67%,382,88%,,,,missing
27 Тосненская,879,60%,387,73%,,,,missing
27 Тосненская,880,51%,384,78%,,,,missing
1 Бокситогорская,27,74%,379,83%,,,,missing
5 Всеволожская,155,71%,373,80%,,,,missing
26 Тихвинская,855,69%,377,89%,,,,missing
6 Выборгская,289,68%,376,79%,,,,missing
5 Всеволожская,115,63%,379,78%,,,,missing
3 Волховская,104,60%,371,77%,,,,missing
5 Всеволожская,200,59%,375,82%,,,,missing
26 Тихвинская,851,59%,378,78%,,,,missing
17 Лужская,685,56%,370,79%,,,,missing
5 Всеволожская,139,52%,370,75%,,,,missing
17 Лужская,709,52%,374,86%,,,,missing
3 Волховская,70,48%,374,77%,,c1,yes,"2, 3, 7, 2, 20, 6, 3, 7, 7, 16, 37, 20, 21, 3, 2, 2, 19, 19, 4, 41, 21, 20, 3"
3 Волховская,70,48%,374,77%,,c2,yes,"21, 43"
6 Выборгская,337,89%,367,89%,,,,missing
21 Приозерская,787,81%,363,84%,,,,missing
6 Выборгская,345,77%,363,88%,,,,missing
3 Волховская,102,70%,361,76%,,,,missing
26 Тихвинская,860,70%,361,77%,,,,missing
7 Гатчинская,355,68%,369,77%,,,,missing
5 Всеволожская,177,66%,365,79%,,,,missing
13 Кировская,560,65%,360,84%,,,,missing
26 Тихвинская,834,65%,368,83%,,,,missing
26 Тихвинская,848,61%,361,79%,,,,missing
15 Лодейнопольская,622,61%,366,78%,,,,missing
6 Выборгская,290,55%,365,73%,,,,missing
17 Лужская,702,49%,366,83%,,,,missing
16 Ломоносовская,646,72%,358,85%,,,,missing
17 Лужская,700,69%,357,81%,,,,missing
7 Гатчинская,425,65%,350,77%,,,,missing
6 Выборгская,305,55%,357,84%,,,,missing
17 Лужская,707,76%,340,82%,,,,missing
15 Лодейнопольская,618,74%,345,73%,,,,missing
21 Приозерская,766,71%,342,82%,,,,missing
7 Гатчинская,362,70%,344,78%,,,,missing
7 Гатчинская,359,64%,345,78%,,,,missing
7 Гатчинская,468,62%,343,83%,,,,missing
